ID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,SurveyID,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6
9362,2020-07-30 14:01:41,2020-07-30 14:05:20,IP Address,100,219,True,2020-07-30 14:05:20,R_1jAJJHMW84W0pdG,NA,email,EN,morning person.,Brownies,"Coffee,Water,Fizzy Water,The tears of my enemies",1000,300
7539,2020-07-30 14:04:32,2020-07-30 14:06:35,IP Address,100,122,True,2020-07-30 14:06:35,R_1DBIyH2XuxMIDei,NA,email,EN,night owl.,Cheese,"Fruit Juice,Coffee,Tea,Water,Fizzy Water",250,300
1367,2020-07-30 14:05:31,2020-07-30 14:08:47,IP Address,100,195,True,2020-07-30 14:08:47,R_2E6HTM3xuox3YQa,NA,email,EN,morning person.,Ice Cream,"Coffee,Tea,Water,Fizzy Water",329,360
6311,2020-07-30 14:07:02,2020-07-30 14:11:49,IP Address,100,287,True,2020-07-30 14:11:49,R_2wp1gk4rdrb1wXz,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Coffee,Water,Milk",7,350
4518,2020-07-30 14:33:00,2020-07-30 14:36:12,IP Address,100,192,True,2020-07-30 14:36:12,R_1oaIvYuJ241b45s,NA,email,EN,morning person.,Ice Cream,"Coffee,Water,Fizzy Water",99,425
9929,2020-07-30 15:03:25,2020-07-30 15:06:33,IP Address,100,188,True,2020-07-30 15:06:33,R_2qlVuVpwYYRVZFI,NA,email,EN,morning person.,Brownies,"Coffee,Tea,Water",527,160
7040,2020-07-30 15:18:15,2020-07-30 15:21:01,IP Address,100,165,True,2020-07-30 15:21:01,R_3pnXHCc92fjzYcm,NA,email,EN,morning person.,I don't care for dessert.,"Tea,Water",400,300
5129,2020-07-30 15:46:14,2020-07-30 15:51:38,IP Address,100,324,True,2020-07-30 15:51:39,R_0GR8upC1V2fMrkZ,NA,email,EN,morning person.,Ice Cream,"Coffee,Tea,Water",158,64
2671,2020-07-30 16:03:33,2020-07-30 16:16:03,IP Address,100,750,True,2020-07-30 16:16:03,R_2s4SzRobc2gIsZF,NA,email,EN,night owl.,Cheese,"Fruit Juice,Coffee,Tea,Water,A delicious 12 year single malt scotch from the Scottish lowlands with notes of apple, cinnamon, and dried fruit served with a single ice cube,Milk",832,328
5051,2020-07-30 16:15:19,2020-07-30 16:19:26,IP Address,100,247,True,2020-07-30 16:19:26,R_WBQ1sqAzJ5oelwJ,NA,email,EN,night owl.,Ice Cream,"Tea,Water,Milk",240,100
4386,2020-07-30 16:42:27,2020-07-30 16:47:47,IP Address,100,320,True,2020-07-30 16:47:47,R_12xxYQm8GLT6Dgt,NA,email,EN,morning person.,Brownies,"Coffee,Tea,Water,Milk",324,200
5341,2020-07-30 17:09:26,2020-07-30 17:12:38,IP Address,100,191,True,2020-07-30 17:12:38,R_3KZUGc1SE2ehOpw,NA,email,EN,night owl.,Brown Butter Chocolate Chip Cookies,"Coffee,Water",217,250
3291,2020-07-30 12:51:15,2020-07-30 19:50:14,IP Address,100,25138,True,2020-07-30 19:50:14,R_2uTEwcdjrjGklN4,NA,email,EN,morning person.,Ice Cream,"Coffee,Tea,Water",200,300
4512,2020-07-31 10:11:20,2020-07-31 10:16:00,IP Address,100,280,True,2020-07-31 10:16:00,R_5on8iuZmxVb38rf,NA,email,EN,night owl.,Brownies,"Coffee,Tea,Water,Fizzy Water,Milk,The tears of my enemies",10,152
7410,2020-07-31 10:43:21,2020-07-31 10:55:49,IP Address,100,747,True,2020-07-31 10:55:50,R_2U0cf1rdeqLbnhY,NA,email,EN,morning person.,Ice Cream,"Coffee,Water,Fizzy Water,Milk",407,90
4071,2020-07-31 13:54:15,2020-07-31 15:00:51,IP Address,100,3996,True,2020-07-31 15:00:51,R_3KqHKoc71gGPjZr,NA,email,EN,night owl.,Ice Cream,"Coffee,Tea,Water",142,50
6178,2020-07-31 16:06:25,2020-07-31 16:10:16,IP Address,100,230,True,2020-07-31 16:10:16,R_3MEcKosyeNGXtkd,NA,email,EN,night owl.,Cheese,"Fruit Juice,Water,Milk",400,150
5743,2020-07-31 20:02:54,2020-07-31 20:08:50,IP Address,100,356,True,2020-07-31 20:08:51,R_zYBq31qnpdXfwDD,NA,email,EN,morning person.,Brownies,"Coffee,Tea,Water,Fizzy Water,A delicious 12 year single malt scotch from the Scottish lowlands with notes of apple, cinnamon, and dried fruit served with a single ice cube,The tears of my enemies",300,250
1386,2020-07-31 22:20:57,2020-07-31 22:23:14,IP Address,100,136,True,2020-07-31 22:23:14,R_334mR0HDYdbfs36,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Coffee,Water,Milk",500,1500
8863,2020-08-02 23:51:28,2020-08-02 23:53:51,IP Address,100,142,True,2020-08-02 23:53:51,R_3lzDKM88cqP82Tk,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Tea,Water",1000,400
